predicted,predictor,model,roi_type,fa_type,spillover,fold,rsquared_train,delta_rsquared_train,rsquared_test,delta_rsquared_test,loglik_train,delta_loglik_train,loglik_test,delta_loglik_test
FirstFixationDuration,SurprisalLeadingDynamic7,gpt2_k5,Leading,Dynamic7,True,0_0,0.6579312819822308,0.006027676696669593,0.6637327073612374,0.00273731706982816,-4.928394613273321,0.00873389548426129,-4.91123988712709,0.004053673866397212
FirstFixationDuration,SurprisalLeadingDynamic8,gpt2_k5,Leading,Dynamic8,True,0_0,0.6608082003669153,0.008904595081354105,0.6651571347854017,0.004161744493992536,-4.924171653903363,0.01295685485421938,-4.909117389730042,0.006176171263445163
FirstFixationDuration,SurprisalLeadingFixed,gpt2_k5,Leading,Fixed,True,0_0,0.6632819902323484,0.011378384946787112,0.6649872962148071,0.0039919059233979315,-4.920511696795589,0.016616811961993605,-4.9093709347957155,0.005922626197771841
FirstFixationDuration,SurprisalLeadingWhole,gpt2_k5,Leading,Whole,True,0_0,0.6627520713314767,0.010848466045915495,0.6649901885490168,0.0039947982576076235,-4.921297966516137,0.015830542241444867,-4.909366618024049,0.005926942969438187
FirstFixationDuration,SurprisalLeadingSpanning3,gpt2_k5,Leading,Spanning3,True,0_0,0.6597466747115598,0.00784306942599855,0.6550792547832174,-0.005916135508191811,-4.925733997174539,0.01139451158304361,-4.923944041684982,-0.008650480691494877
FirstFixationDuration,SurprisalLeadingSpanning4,gpt2_k5,Leading,Spanning4,True,0_0,0.6590223570123335,0.007118751726772232,0.6556921388623456,-0.005303251429063627,-4.926797245919683,0.010331262837898869,-4.923054809527436,-0.007761248533948439
FirstFixationDuration,SurprisalLeadingSpanning5,gpt2_k5,Leading,Spanning5,True,0_0,0.6586151592647254,0.00671155397916412,0.654888358168239,-0.0061070321231702085,-4.927393992964921,0.009734515792660936,-4.924220690467607,-0.008927129474119333
FirstFixationDuration,SurprisalLeadingSpanning6,gpt2_k5,Leading,Spanning6,True,0_0,0.658437576056401,0.0065339707708397254,0.6591394741193963,-0.0018559161720128614,-4.927654017745034,0.009474491012547936,-4.91802339766985,-0.002729836676362396
FirstFixationDuration,SurprisalLeadingSpanning7,gpt2_k5,Leading,Spanning7,True,0_0,0.6579457752298645,0.006042169944303288,0.656149240767585,-0.004846149523824228,-4.928373428122628,0.00875508063495456,-4.922390570267859,-0.007097009274371402
FirstFixationDuration,SurprisalLeadingSpanningWhole,gpt2_k5,Leading,SpanningWhole,True,0_0,0.6576065569502352,0.005702951664673939,0.6611147896316947,0.00011939934028548649,-4.9288690369519825,0.008259471805599716,-4.915117427146978,0.0001761338465096074
FirstFixationDuration,SurprisalTrailingDynamic7,gpt2_k5,Trailing,Dynamic7,True,0_0,0.6621418316387638,0.010238226353202595,0.6688881947117715,0.007892804420362332,-4.922201883488003,0.014926625269579219,-4.903514757703819,0.011778803289668183
FirstFixationDuration,SurprisalTrailingDynamic8,gpt2_k5,Trailing,Dynamic8,True,0_0,0.6649012205488347,0.012997615263273476,0.671803922077191,0.010808531785781783,-4.918101466092882,0.019027042664700566,-4.899092322528727,0.016201238464760515
FirstFixationDuration,SurprisalTrailingFixed,gpt2_k5,Trailing,Fixed,True,0_0,0.6653587940444422,0.013455188758880965,0.6679682040640853,0.006972813772676112,-4.917418255329342,0.019710253428240065,-4.904902075980296,0.010391485013191648
FirstFixationDuration,SurprisalTrailingWhole,gpt2_k5,Trailing,Whole,True,0_0,0.6642734027910948,0.012369797505533575,0.6687495997550479,0.007754209463638695,-4.91903735486943,0.01809115388815208,-4.90372400116244,0.011569559831047016
FirstFixationDuration,SurprisalTrailingSpanning3,gpt2_k5,Trailing,Spanning3,True,0_0,0.6593843584184793,0.007480753132918072,0.6565799666329887,-0.004415423658420514,-4.9262661352876105,0.010862373469971764,-4.921763850892563,-0.00647028989907561
FirstFixationDuration,SurprisalTrailingSpanning4,gpt2_k5,Trailing,Spanning4,True,0_0,0.6589324111154107,0.007028805829849438,0.6556355334034347,-0.005359856887974468,-4.926929122653426,0.010199386104155828,-4.92313700458125,-0.007843443587762344
FirstFixationDuration,SurprisalTrailingSpanning5,gpt2_k5,Trailing,Spanning5,True,0_0,0.658732692935901,0.006829087650339738,0.6600215151230256,-0.0009738751683835423,-4.9272218208378495,0.009906687919732704,-4.916727876286442,-0.001434315292955013
FirstFixationDuration,SurprisalTrailingSpanning6,gpt2_k5,Trailing,Spanning6,True,0_0,0.6582024390991192,0.006298833813558002,0.6569239627360539,-0.004071427555355278,-4.927998107202679,0.009130401554902967,-4.921262761160848,-0.005969200167360356
FirstFixationDuration,SurprisalTrailingSpanning7,gpt2_k5,Trailing,Spanning7,True,0_0,0.657955368630653,0.006051763345091721,0.6607096804845058,-0.0002857098069033448,-4.928359404709632,0.008769104047949838,-4.915714778684334,-0.00042121769084690897
FirstFixationDuration,SurprisalTrailingSpanningWhole,gpt2_k5,Trailing,SpanningWhole,True,0_0,0.6570341016202015,0.005130496334640244,0.6610262586135982,3.086832218901492e-05,-4.929704300190632,0.007424208566949808,-4.915248031040856,4.5529952631184756e-05
FirstFixationDuration,SurprisalLeadingAndTrailingDynamic7,gpt2_k5,LeadingAndTrailing,Dynamic7,True,0_0,0.6562604258100289,0.0043568205244676195,0.6619350291669941,0.0009396388755849028,-4.930830949341439,0.006297559416143628,-4.913905757574405,0.0013878034190826227
FirstFixationDuration,SurprisalLeadingAndTrailingDynamic8,gpt2_k5,LeadingAndTrailing,Dynamic8,True,0_0,0.6583946961347024,0.0064910908491411234,0.6651952755616418,0.004199885270232628,-4.92771678406143,0.009411724696152035,-4.909060433239985,0.0062331277535019325
FirstFixationDuration,SurprisalLeadingAndTrailingFixed,gpt2_k5,LeadingAndTrailing,Fixed,True,0_0,0.662384725547593,0.01048112026203174,0.6652968882866361,0.004301497995226944,-4.9218422928603,0.015286215897281963,-4.908908660967448,0.0063849000260391975
FirstFixationDuration,SurprisalLeadingAndTrailingWhole,gpt2_k5,LeadingAndTrailing,Whole,True,0_0,0.6623604352407101,0.01045682995514885,0.6664112954329819,0.005415905141572752,-4.9218782649192665,0.015250243838315747,-4.907241113719156,0.00805244727433152
FirstFixationDuration,SurprisalLeadingAndTrailingSpanning3,gpt2_k5,LeadingAndTrailing,Spanning3,True,0_0,0.6590584960131166,0.007154890727555374,0.6550649627575407,-0.005930427533868521,-4.926744249899587,0.010384258857995654,-4.923964759095841,-0.008671198102353728
FirstFixationDuration,SurprisalLeadingAndTrailingSpanning4,gpt2_k5,LeadingAndTrailing,Spanning4,True,0_0,0.6583792288968464,0.006475623611285175,0.6556232662558845,-0.0053721240355246724,-4.927739422597085,0.009389086160497051,-4.9231548155493545,-0.00786125455586717
FirstFixationDuration,SurprisalLeadingAndTrailingSpanning5,gpt2_k5,LeadingAndTrailing,Spanning5,True,0_0,0.6579819390918873,0.006078333806326053,0.6547223498254611,-0.006273040465948121,-4.928320562566146,0.008807946191436322,-4.924461146610104,-0.009167585616616236
FirstFixationDuration,SurprisalLeadingAndTrailingSpanning6,gpt2_k5,LeadingAndTrailing,Spanning6,True,0_0,0.6578120375172182,0.005908432231656935,0.6587867125160465,-0.0022086777753627107,-4.928568881891543,0.00855962686603906,-4.918540587492844,-0.003247026499356487
FirstFixationDuration,SurprisalLeadingAndTrailingSpanning7,gpt2_k5,LeadingAndTrailing,Spanning7,True,0_0,0.6573481611580877,0.0054445558725264576,0.6558894980609515,-0.005105892230457654,-4.929246232169924,0.007882276587658055,-4.922768124548362,-0.007474563554874969
FirstFixationDuration,SurprisalLeadingAndTrailingSpanningWhole,gpt2_k5,LeadingAndTrailing,SpanningWhole,True,0_0,0.656278231061932,0.004374625776370711,0.6599111498743757,-0.0010842404170334774,-4.9308050493369,0.0063234594206820205,-4.916890162054246,-0.0015966010607586512
FirstFixationDuration,SurprisalNoWhitespaceDynamic7,gpt2_k5,NoWhitespace,Dynamic7,True,0_0,0.6641362409865923,0.012232635701031058,0.6685488683254912,0.007553478034082017,-4.9192415891993875,0.01788691955819477,-4.904026899867254,0.011266661126233757
FirstFixationDuration,SurprisalNoWhitespaceDynamic8,gpt2_k5,NoWhitespace,Dynamic8,True,0_0,0.6660263056482099,0.014122700362648621,0.6708222256847092,0.009826835393299982,-4.91641990512023,0.020708603637352496,-4.9005856845158355,0.014707876477651816
FirstFixationDuration,SurprisalNoWhitespaceFixed,gpt2_k5,NoWhitespace,Fixed,True,0_0,0.6658506195255882,0.013947014240026978,0.6684782928858283,0.007482902594419083,-4.916682859856102,0.020445648901480595,-4.904133352855672,0.011160208137815708
FirstFixationDuration,SurprisalNoWhitespaceWhole,gpt2_k5,NoWhitespace,Whole,True,0_0,0.6644916847175966,0.012588079432035326,0.6678491727671825,0.006853782475773285,-4.918712160321092,0.018416348436490537,-4.905081290693275,0.010212270300212545
FirstFixationDuration,SurprisalNoWhitespaceSpanning3,gpt2_k5,NoWhitespace,Spanning3,True,0_0,0.659885964173921,0.007982358888359742,0.6571261148385357,-0.003869275452873522,-4.925529270328032,0.01159923842955024,-4.920968057273981,-0.00567449628049399
FirstFixationDuration,SurprisalNoWhitespaceSpanning4,gpt2_k5,NoWhitespace,Spanning4,True,0_0,0.6594322899780398,0.007528684692478582,0.6562680479925144,-0.004727342298894821,-4.926195770150931,0.010932738606650894,-4.922217780545009,-0.00692421955152156
