predicted,predictor,model,roi_type,fa_type,spillover,fold,rsquared_train,delta_rsquared_train,rsquared_test,delta_rsquared_test,loglik_train,delta_loglik_train,loglik_test,delta_loglik_test
FirstFixationDuration,SurprisalLeadingDynamic7,gpt2_k5,Leading,Dynamic7,True,0_0,0.16205486349207343,0.006851443468493423,0.24108963242899684,0.023070152416771905,-4.40583556038929,0.004071617921262316,-4.46351434109252,0.014973076051586709
FirstFixationDuration,SurprisalLeadingDynamic8,gpt2_k5,Leading,Dynamic8,True,0_0,0.16434520796197882,0.009141787938398815,0.24908055670744567,0.031061076695220735,-4.404467045811433,0.005440132499119343,-4.458221692321722,0.020265724822385422
FirstFixationDuration,SurprisalLeadingFixed,gpt2_k5,Leading,Fixed,True,0_0,0.1706070829624976,0.015403662938917595,0.24138074239943497,0.023361262387210036,-4.400706249956667,0.009200928353885196,-4.463322509599296,0.015164907544811257
FirstFixationDuration,SurprisalLeadingWhole,gpt2_k5,Leading,Whole,True,0_0,0.1677933804273285,0.01258996040374849,0.25323018033839384,0.03521070032616891,-4.402399621411468,0.007507556899084555,-4.455451001263104,0.023036415881002803
FirstFixationDuration,SurprisalLeadingSpanning3,gpt2_k5,Leading,Spanning3,True,0_0,0.15801917950954636,0.0028157594859663515,0.24179546677860297,0.023775986766378043,-4.408237863734331,0.0016693145762216588,-4.463049093272357,0.01543832387175037
FirstFixationDuration,SurprisalLeadingSpanning4,gpt2_k5,Leading,Spanning4,True,0_0,0.15721002250976313,0.0020066024861831178,0.24011904562249087,0.022099565610265937,-4.408718140970242,0.001189037340310506,-4.464153393294495,0.01433402384961191
FirstFixationDuration,SurprisalLeadingSpanning5,gpt2_k5,Leading,Spanning5,True,0_0,0.15646054948598387,0.001257129462403861,0.24059271057243548,0.022573230560210544,-4.409162581457776,0.0007445968527761693,-4.463841625618267,0.014645791525840224
FirstFixationDuration,SurprisalLeadingSpanning6,gpt2_k5,Leading,Spanning6,True,0_0,0.15609794917692366,0.0008945291533436484,0.23865937775281787,0.02063989774059294,-4.409377463167367,0.0005297151431857827,-4.465112930248271,0.013374486895836313
FirstFixationDuration,SurprisalLeadingSpanning7,gpt2_k5,Leading,Spanning7,True,0_0,0.15602441475548046,0.0008209947319004485,0.23809777711892666,0.020078297106701726,-4.4094210293714085,0.0004861489391441154,-4.465481617789547,0.013005799354560033
FirstFixationDuration,SurprisalLeadingSpanningWhole,gpt2_k5,Leading,SpanningWhole,True,0_0,0.1567331967112514,0.0015297766876714025,0.2389113820360973,0.020891902023872366,-4.409000946280632,0.0009062320299202398,-4.464947402498983,0.01354001464512411
FirstFixationDuration,SurprisalTrailingDynamic7,gpt2_k5,Trailing,Dynamic7,True,0_0,0.163402323229778,0.008198903206197983,0.24731760441614736,0.029298124403922432,-4.40503088700749,0.004876291303062885,-4.4593941789824685,0.01909323816163866
FirstFixationDuration,SurprisalTrailingDynamic8,gpt2_k5,Trailing,Dynamic8,True,0_0,0.1648409426859273,0.009637522662347298,0.25525525945500216,0.03723577944277723,-4.404170343256156,0.005736835054396927,-4.45409326704112,0.024394150102986956
FirstFixationDuration,SurprisalTrailingFixed,gpt2_k5,Trailing,Fixed,True,0_0,0.1672473586303117,0.012043938606731697,0.25450229716837114,0.03648281715614621,-4.40272757046668,0.007179607843872837,-4.454598528687674,0.02388888845643322
FirstFixationDuration,SurprisalTrailingWhole,gpt2_k5,Trailing,Whole,True,0_0,0.16604243755259218,0.010839017529012174,0.2528185453141243,0.03479906530189936,-4.403450504354569,0.006456673955983483,-4.455726535707737,0.022760881436370006
FirstFixationDuration,SurprisalTrailingSpanning3,gpt2_k5,Trailing,Spanning3,True,0_0,0.15684465460733954,0.0016412345837595321,0.23897626328083676,0.020956783268611834,-4.4089348549426255,0.0009723233679270749,-4.464904776706886,0.013582640437221016
FirstFixationDuration,SurprisalTrailingSpanning4,gpt2_k5,Trailing,Spanning4,True,0_0,0.156130078136687,0.0009266581131069929,0.2393187081062046,0.02129922809397966,-4.409358426851865,0.0005487514586874909,-4.464679736489032,0.013807680655075316
FirstFixationDuration,SurprisalTrailingSpanning5,gpt2_k5,Trailing,Spanning5,True,0_0,0.15579878689150295,0.0005953668679229418,0.23739071520948196,0.01937123519725703,-4.409554681169929,0.00035249714062324244,-4.465945413540897,0.012542003603210006
FirstFixationDuration,SurprisalTrailingSpanning6,gpt2_k5,Trailing,Spanning6,True,0_0,0.1557463817764988,0.0005429617529187913,0.23676441374090462,0.01874493372867969,-4.409585718491182,0.0003214598193705953,-4.466355875649878,0.012131541494229126
FirstFixationDuration,SurprisalTrailingSpanning7,gpt2_k5,Trailing,Spanning7,True,0_0,0.15579934640089876,0.0005959263773187562,0.23532596775887382,0.01730648774664889,-4.40955434978591,0.00035282852464213477,-4.467297322964295,0.011190094179812426
FirstFixationDuration,SurprisalTrailingSpanningWhole,gpt2_k5,Trailing,SpanningWhole,True,0_0,0.15628661581141434,0.0010831957878343346,0.2371702593424615,0.019150779330236567,-4.40926566836426,0.0006415099462921958,-4.4660899331610695,0.012397483983037638
FirstFixationDuration,SurprisalLeadingAndTrailingDynamic7,gpt2_k5,LeadingAndTrailing,Dynamic7,True,0_0,0.1611774832866365,0.005974063263056495,0.23867122695670062,0.02065174694447569,-4.406358817313902,0.003548360996650679,-4.465105148385759,0.013382268758348026
FirstFixationDuration,SurprisalLeadingAndTrailingDynamic8,gpt2_k5,LeadingAndTrailing,Dynamic8,True,0_0,0.16218713137984841,0.006983711356268407,0.243282850118701,0.025263370106476057,-4.405756630205072,0.004150548105480212,-4.46206727102067,0.016420146123437007
FirstFixationDuration,SurprisalLeadingAndTrailingFixed,gpt2_k5,LeadingAndTrailing,Fixed,True,0_0,0.1705557390109359,0.015352318987355895,0.24035109515259456,0.02233161514036963,-4.400737201729547,0.009169976581005379,-4.464000681894652,0.014486735249454874
