StimulusID,ContextLength,Region,RegionCleaned,RegionLength,SubtlexLogFreq,WordFreq,WordFreqLog,WordFreqZipf,PunctOrClitic,RegionContentOrFunction,RegionPOS,FirstFixationDuration,DwellTime,SkipRate
1,1,are,are,3,5.42434741987193,0.0055,-5.203007168561894,6.74,0.0,Content,Verb,182.41666666666666,309.18333333333334,0.18333333333333332
1,2,now,now,3,5.21307659793577,0.00151,-6.49564556193014,6.18,0.0,Content,Adverb,182.76666666666668,261.23333333333335,0.31666666666666665
1,3,rumblings,rumblings,9,1.04139268515823,3.89e-07,-14.759429456955903,2.59,0.0,Content,Noun,193.53333333333333,407.02666666666664,0.08
1,4,that,that,4,5.8571382268439,0.0102,-4.58536754888799,7.01,0.0,Function,Conjunction,209.7962962962963,312.6111111111111,0.24074074074074073
1,5,Apple,apple,5,3.08206693428511,5.75e-05,-9.763723871032047,4.76,0.0,Content,Noun,198.56521739130434,245.4927536231884,0.13043478260869565
1,6,might,might,5,4.4205333226935,0.000457,-7.690826948251713,5.66,0.0,Content,Verb,223.8904109589041,298.1917808219178,0.1232876712328767
1,7,soon,soon,4,4.1186284152966,0.000209,-8.473175827530678,5.32,0.0,Content,Adverb,204.0,232.7058823529412,0.1323529411764706
1,8,invade,invade,6,2.19589965240923,4.07e-06,-12.411842988787038,3.61,0.0,Content,Verb,216.35064935064935,294.87012987012986,0.06493506493506493
1,9,the,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,199.79310344827587,230.44827586206895,0.3793103448275862
1,10,smart,smart,5,3.69108149212297,6.76e-05,-9.60190109562651,4.83,0.0,Content,Adjective,241.3,399.4714285714286,0.17142857142857143
1,11,watch,watch,5,4.22613572247364,0.000219,-8.426438371526872,5.34,0.0,Content,Noun,243.9857142857143,433.2857142857143,0.14285714285714285
1,12,"space,",space,5,3.52762990087134,0.00017,-8.67971153267889,5.23,1.0,Content,Noun,235.49333333333334,333.84,0.09333333333333334
1,13,though,though,6,3.96754797621886,0.000316,-8.059768027921717,5.5,0.0,Function,Conjunction,238.17910447761193,355.13432835820896,0.16417910447761194
1,14,the,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,190.9189189189189,214.2972972972973,0.21621621621621623
1,15,company,company,7,3.87552426394931,0.000398,-7.829058301423586,5.6,0.0,Content,Noun,201.21052631578948,265.4868421052632,0.09210526315789473
1,16,is,is,2,5.662440491974,0.0117,-4.448166428631418,7.07,0.0,Content,Verb,139.05263157894737,162.1315789473684,0.10526315789473684
1,17,maintaining,maintaining,11,1.97772360528885,1.78e-05,-10.936306482704488,4.25,0.0,Content,Verb,173.04819277108433,337.6265060240964,0.1686746987951807
1,18,its,its,3,3.94240494085611,0.00138,-6.585671707349258,6.14,0.0,Function,Determiner,180.8048780487805,235.0,0.34146341463414637
1,19,customary,customary,9,2.04921802267018,3.39e-06,-12.594651138481915,3.53,0.0,Content,Adjective,212.47560975609755,504.390243902439,0.08536585365853659
1,20,silence.,silence,7,3.11226976841727,2.88e-05,-10.45513169860618,4.46,1.0,Content,Noun,213.48,308.56,0.08
1,21,The,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,190.8125,200.3125,0.5625
1,22,watch,watch,5,4.22613572247364,0.000219,-8.426438371526872,5.34,0.0,Content,Noun,237.72972972972974,356.43243243243245,0.17567567567567569
1,23,doesn't,doesn't,7,,0.000339,-7.989510155598617,5.53,1.0,Content,Verb,201.9078947368421,271.2105263157895,0.07894736842105263
1,24,have,have,4,5.49725179166937,0.00513,-5.2726496003062815,6.71,0.0,Content,Verb,203.59615384615384,242.94230769230768,0.11538461538461539
1,25,a,a,1,6.01752581716572,0.0229,-3.776618364055131,7.36,0.0,Function,Article,178.52173913043478,187.30434782608697,0.391304347826087
1,26,microphone,microphone,10,2.36735592102602,5.25e-06,-12.157263433923097,3.72,0.0,Content,Noun,214.725,311.2,0.025
1,27,or,or,2,4.93937446365848,0.00347,-5.663600656204926,6.54,0.0,Function,Conjunction,213.875,228.83333333333334,0.4583333333333333
1,28,"speaker,",speaker,7,2.54777470538782,3.09e-05,-10.384751137819856,4.49,1.0,Content,Noun,216.97260273972603,291.26027397260276,0.0136986301369863
1,29,but,but,3,5.35274577042982,0.00427,-5.4561414283224,6.63,0.0,Function,Conjunction,202.0,206.35294117647058,0.14705882352941177
1,30,you,you,3,6.32933969831097,0.00955,-4.651214114018294,6.98,0.0,Function,Pronoun,201.17777777777778,221.4,0.044444444444444446
1,31,can,can,3,5.42752018916411,0.00288,-5.849964950112061,6.46,0.0,Content,Verb,190.28571428571428,227.16071428571428,0.017857142857142856
1,32,use,use,3,4.24395530197874,0.000646,-7.344710899382923,5.81,0.0,Content,Verb,184.26666666666668,208.22222222222223,0.044444444444444446
1,33,it,it,2,5.98394771743588,0.00891,-4.720581026276075,6.95,0.0,Function,Pronoun,208.37037037037038,311.48148148148147,0.6296296296296297
1,34,to,to,2,6.06317229855216,0.0269,-3.6156289886568715,7.43,0.0,Function,Infinitive Marker,187.7450980392157,208.64705882352942,0.5294117647058824
1,35,control,control,7,3.82366981326814,0.000251,-8.290057220426196,5.4,0.0,Content,Verb,180.93150684931507,242.97260273972603,0.2191780821917808
1,36,the,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,159.2,186.16666666666666,0.16666666666666666
1,37,music,music,5,3.88846031803539,0.000331,-8.013391880472453,5.52,0.0,Content,Noun,214.4857142857143,251.4857142857143,0.17142857142857143
1,38,on,on,2,5.54991383445688,0.00813,-4.812194343122295,6.91,0.0,Function,Preposition,218.20689655172413,240.3448275862069,0.1724137931034483
1,39,your,your,4,5.516820843548,0.00339,-5.686925328091253,6.53,0.0,Function,Determiner,207.23076923076923,257.5192307692308,0.11538461538461539
1,40,phone.,phone,5,4.13852373727916,0.0002,-8.517192691416362,5.3,1.0,Content,Noun,194.5,223.7173913043478,0.13043478260869565
1,41,You,you,3,6.32933969831097,0.00955,-4.651214114018294,6.98,0.0,Function,Pronoun,206.28125,271.5625,0.3125
1,42,can,can,3,5.42752018916411,0.00288,-5.849964950112061,6.46,0.0,Content,Verb,226.47272727272727,296.4909090909091,0.16363636363636364
1,43,glance,glance,6,2.24551266781415,8.13e-06,-11.7199373343572,3.91,0.0,Content,Verb,205.0,248.85714285714286,0.04285714285714286
1,44,at,at,2,5.2150371190435,0.00501,-5.296319343925284,6.7,0.0,Function,Preposition,170.6086956521739,200.65217391304347,0.5217391304347826
1,45,the,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,207.74468085106383,226.5744680851064,0.14893617021276595
1,46,watch,watch,5,4.22613572247364,0.000219,-8.426438371526872,5.34,0.0,Content,Noun,219.83928571428572,289.0357142857143,0.08928571428571429
1,47,face,face,4,4.16873312893408,0.000282,-8.173603132416295,5.45,0.0,Content,Noun,211.734375,281.015625,0.140625
1,48,to,to,2,6.06317229855216,0.0269,-3.6156289886568715,7.43,0.0,Function,Preposition,226.57142857142858,260.65714285714284,0.37142857142857144
1,49,view,view,4,3.29358351349612,0.000155,-8.772084795883945,5.19,0.0,Content,Verb,237.40322580645162,332.96774193548384,0.06451612903225806
1,50,the,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,210.41176470588235,242.14705882352942,0.11764705882352941
1,51,artist,artist,6,3.1646502159343,6.31e-05,-9.67078820363231,4.8,0.0,Content,Noun,229.80555555555554,291.375,0.013888888888888888
1,52,and,and,3,5.8342814273373,0.0257,-3.6612642831899125,7.41,0.0,Function,Conjunction,172.3548387096774,185.6451612903226,0.0
1,53,title,title,5,2.97680833733807,0.000126,-8.979227857362318,5.1,0.0,Content,Noun,229.55384615384617,376.55384615384617,0.6461538461538462
1,54,of,of,2,5.77117577156368,0.0251,-3.684887428860335,7.4,0.0,Function,Preposition,189.17857142857142,244.75,0.42857142857142855
1,55,a,a,1,6.01752581716572,0.0229,-3.776618364055131,7.36,0.0,Function,Article,189.36111111111111,207.05555555555554,0.2777777777777778
1,56,song.,song,4,3.67933703052079,0.000182,-8.61150332143708,5.26,1.0,Content,Noun,266.078431372549,436.62745098039215,0.0
2,1,days,days,4,4.1929296788902,0.000407,-7.806697126821463,5.61,0.0,Content,Noun,197.37313432835822,301.04477611940297,0.07462686567164178
2,2,"later,",later,5,4.17289469775218,0.000309,-8.082168957441986,5.49,1.0,Content,Adverb,178.3728813559322,239.20338983050848,0.11864406779661017
2,3,the,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,169.7906976744186,190.48837209302326,0.18604651162790697
2,4,British,british,7,3.10856502373283,0.000151,-8.798230058897913,5.18,0.0,Content,Adjective,200.02857142857144,246.14285714285714,0.07142857142857142
2,5,astronomer,astronomer,10,1.56820172406699,1.45e-06,-13.443878038392562,3.16,0.0,Content,Noun,243.40963855421685,375.6024096385542,0.060240963855421686
2,6,Richard,richard,7,3.57588031568065,6.17e-05,-9.693225006308703,4.79,0.0,Content,Noun,230.52631578947367,294.0131578947368,0.039473684210526314
2,8,was,was,3,5.45998320887664,0.00661,-5.019171609989949,6.82,0.0,Content,Verb,204.41666666666666,243.61111111111111,0.3333333333333333
2,9,observing,observing,9,2.16435285578444,5.62e-06,-12.089161100622672,3.75,0.0,Content,Verb,228.1139240506329,403.0,0.06329113924050633
2,10,the,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,211.06451612903226,245.0,0.41935483870967744
2,11,interesting,interesting,11,3.6456187382427,0.0001,-9.210339371976684,5.0,0.0,Content,Adjective,233.025,528.65,0.0625
2,12,sunspot,sunspot,7,1.14612803567824,3.55e-07,-14.850866396997368,2.55,0.0,Content,Noun,215.55844155844156,307.15584415584414,0.06493506493506493
2,13,group,group,5,3.57553421831986,0.000372,-7.89661643487396,5.57,0.0,Content,Noun,232.72602739726028,317.82191780821915,0.6712328767123288
2,14,through,through,7,4.44757661352292,0.000741,-7.20750979771543,5.87,0.0,Function,Preposition,174.84146341463415,403.280487804878,0.18292682926829268
2,15,his,his,3,5.03488903532673,0.00324,-5.732181918313702,6.51,0.0,Function,Determiner,186.02380952380952,239.97619047619048,0.30952380952380953
2,16,telescope,telescope,9,2.17897694729317,5.62e-06,-12.089161100622672,3.75,0.0,Content,Noun,219.91176470588235,296.25,0.10294117647058823
2,17,when,when,4,5.01594624365757,0.00234,-6.057604306877485,6.37,0.0,Function,Conjunction,208.6904761904762,256.1904761904762,0.23809523809523808
2,18,he,he,2,5.59050523199268,0.0049,-5.3185200534573935,6.69,0.0,Function,Pronoun,209.88888888888889,232.22222222222223,0.1388888888888889
2,19,saw,saw,3,4.31234663903085,0.000219,-8.426438371526872,5.34,0.0,Content,Verb,190.11111111111111,225.64444444444445,0.1111111111111111
2,20,what,what,4,5.70067430178157,0.0024,-6.032286499961572,6.38,0.0,Function,Determiner,179.54716981132074,229.30188679245282,0.2830188679245283
2,21,he,he,2,5.59050523199268,0.0049,-5.3185200534573935,6.69,0.0,Function,Pronoun,214.07692307692307,268.0769230769231,0.23076923076923078
2,22,described,described,9,2.66558099101795,0.0001,-9.210339371976684,5.0,0.0,Content,Verb,208.0506329113924,368.34177215189874,0.06329113924050633
2,23,as,as,2,5.05334355121762,0.00589,-5.134499264340713,6.77,0.0,Function,Preposition,181.54545454545453,238.9090909090909,0.18181818181818182
2,24,"""two",two,3,4.73547913286875,0.00126,-6.676643478653674,6.1,0.0,Function,Number,218.36065573770492,270.0983606557377,0.11475409836065574
2,25,patches,patches,7,1.90848501887865,7.24e-06,-11.83587553950734,3.86,0.0,Content,Noun,212.62857142857143,303.9714285714286,0.02857142857142857
2,26,of,of,2,5.77117577156368,0.0251,-3.684887428860335,7.4,0.0,Function,Preposition,171.11764705882354,195.41176470588235,0.17647058823529413
2,27,intensely,intensely,9,1.85733249643127,3.31e-06,-12.618532157551298,3.52,0.0,Content,Adverb,247.26666666666668,392.6666666666667,0.04
2,28,bright,bright,6,3.35525990552738,4.07e-05,-10.109280008516286,4.61,0.0,Content,Adjective,210.1304347826087,263.231884057971,0.043478260869565216
2,29,and,and,3,5.8342814273373,0.0257,-3.6612642831899125,7.41,0.0,Function,Conjunction,147.55882352941177,186.0,0.058823529411764705
2,30,white,white,5,3.9417598138147,0.000324,-8.034766733530017,5.51,0.0,Content,Adjective,198.98529411764707,282.30882352941177,0.6176470588235294
2,31,"light""",light,5,3.92562145479083,0.000214,-8.449534075652812,5.33,0.0,Content,Noun,160.98611111111111,245.81944444444446,0.18055555555555555
2,32,over,over,4,4.82923299314807,0.0012,-6.725433638854852,6.08,0.0,Function,Preposition,196.21428571428572,256.4107142857143,0.39285714285714285
2,33,the,the,3,6.1766436197553,0.0537,-2.9243422756051207,7.73,0.0,Function,Article,203.7173913043478,265.10869565217394,0.2391304347826087
2,34,sunspots.,sunspots,8,1.04139268515823,3.09e-07,-14.989600987808341,2.49,1.0,Content,Noun,215.9189189189189,331.9864864864865,0.04054054054054054
2,35,He,he,2,5.59050523199268,0.0049,-5.3185200534573935,6.69,0.0,Function,Pronoun,206.24242424242425,279.93939393939394,0.15151515151515152
2,36,jotted,jotted,6,1.20411998265592,1.74e-07,-15.563635990172267,2.24,0.0,Content,Verb,228.34666666666666,369.82666666666665,0.17333333333333334
2,37,a,a,1,6.01752581716572,0.0229,-3.776618364055131,7.36,0.0,Function,Article,212.73076923076923,259.34615384615387,0.15384615384615385
2,38,note,note,4,3.43648069500949,0.00011,-9.115029283081363,5.04,0.0,Content,Noun,245.7076923076923,292.6307692307692,0.12307692307692308
2,39,in,in,2,5.69761724386273,0.0186,-3.9845936928866372,7.27,0.0,Function,Preposition,198.5,241.93333333333334,0.3
2,40,his,his,3,5.03488903532673,0.00324,-5.732181918313702,6.51,0.0,Function,Determiner,199.64102564102564,235.12820512820514,0.38461538461538464
2,41,painstaking,painstaking,11,1.11394335230684,8.51e-07,-13.976736206463496,2.93,0.0,Content,Adjective,217.53846153846155,448.6025641025641,0.038461538461538464
2,42,record.,record,6,3.64008373137312,0.000162,-8.72791360544813,5.21,1.0,Content,Noun,219.4126984126984,270.73015873015873,0.06349206349206349
2,43,That,that,4,5.8571382268439,0.0102,-4.58536754888799,7.01,0.0,Function,Determiner,199.0,280.9756097560976,0.3170731707317073
2,44,night,night,5,4.64511756680654,0.000407,-7.806697126821463,5.61,0.0,Content,Noun,234.27142857142857,313.5285714285714,0.07142857142857142
